"Reference","Value","Product Name","Replacement","Description P/N","Footprint","Qty","DNP"
"J1,J2,J3","~","DS1073-01-2x1-MVT6","","","Connector_Molex:Molex_Mini-Fit_Jr_5566-02A_2x01_P4.20mm_Vertical","3",""
"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16","10k","SQP 20 Вт","","","Resistor_THT:R_Axial_Power_L60.0mm_W14.0mm_P66.04mm","16",""
