Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description
J1,1,VDC_IN,Molex_Mini-Fit_Jr_5566-02A_2x01_P4.20mm_Vertical,,,,tht,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)"
J2,1,VDC_OUT1,Molex_Mini-Fit_Jr_5566-02A_2x01_P4.20mm_Vertical,,,,tht,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)"
J3,1,VDC_OUT2,Molex_Mini-Fit_Jr_5566-02A_2x01_P4.20mm_Vertical,,,,tht,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)"
"R1, R10, R11, R12, R13, R14, R15, R16, R2, R3, R4, R5, R6, R7, R8, R9",16,10k,R_Axial_Power_L60.0mm_W14.0mm_P66.04mm,,,,tht,Resistor
